customer_id,signup_date,city,acquisition_channel,checkout_variant,signup_month
146,2025-08-05,Hyderabad,email,variant,2025-08
147,2025-03-12,Ahmedabad,direct,control,2025-03
148,2025-04-23,Delhi,organic_search,control,2025-04
149,2025-07-23,Mumbai,referral,control,2025-07
150,2025-03-11,Mumbai,email,variant,2025-03
151,2025-08-07,Kolkata,direct,control,2025-08
152,2025-04-14,Hyderabad,email,variant,2025-04
153,2025-08-23,Hyderabad,paid_social,control,2025-08
154,2025-04-27,Chennai,organic_search,control,2025-04
155,2025-05-06,Hyderabad,paid_social,control,2025-05
156,2025-06-04,Pune,organic_search,control,2025-06
157,2025-03-20,Mumbai,paid_social,control,2025-03
158,2025-06-07,Delhi,organic_search,variant,2025-06
159,2025-06-04,Ahmedabad,organic_search,control,2025-06
160,2025-06-29,Hyderabad,referral,variant,2025-06
161,2025-08-09,Delhi,email,control,2025-08
162,2025-06-09,Bengaluru,paid_social,variant,2025-06
163,2025-05-15,Bengaluru,organic_search,control,2025-05
164,2025-05-05,Bengaluru,paid_social,variant,2025-05
165,2025-05-20,Bengaluru,direct,control,2025-05
166,2025-07-18,Chennai,email,variant,2025-07
167,2025-04-12,Mumbai,email,variant,2025-04
168,2025-04-05,Bengaluru,paid_social,variant,2025-04
169,2025-05-14,Hyderabad,organic_search,variant,2025-05
170,2025-03-19,Pune,email,control,2025-03
171,2025-03-11,Ahmedabad,referral,variant,2025-03
172,2025-03-08,Ahmedabad,paid_social,control,2025-03
173,2025-07-13,Bengaluru,paid_social,variant,2025-07
174,2025-07-08,Pune,paid_social,control,2025-07
175,2025-07-10,Mumbai,paid_social,control,2025-07
176,2025-05-09,Pune,referral,variant,2025-05
177,2025-07-07,Delhi,email,control,2025-07
178,2025-03-21,Mumbai,paid_social,variant,2025-03
179,2025-08-10,Chennai,paid_social,control,2025-08
180,2025-06-12,Delhi,paid_social,variant,2025-06
181,2025-08-16,Hyderabad,organic_search,variant,2025-08
182,2025-03-11,Mumbai,paid_social,variant,2025-03
183,2025-05-02,Chennai,direct,control,2025-05
184,2025-07-22,Kolkata,email,control,2025-07
185,2025-05-01,Pune,organic_search,control,2025-05
186,2025-05-16,Kolkata,email,control,2025-05
187,2025-03-08,Hyderabad,email,variant,2025-03
188,2025-05-05,Delhi,organic_search,control,2025-05
189,2025-04-01,Delhi,email,control,2025-04
190,2025-04-25,Delhi,email,control,2025-04
191,2025-07-11,Delhi,direct,variant,2025-07
192,2025-06-08,Bengaluru,organic_search,control,2025-06
193,2025-06-19,Delhi,organic_search,control,2025-06
194,2025-05-01,Pune,paid_social,control,2025-05
195,2025-08-13,Delhi,organic_search,control,2025-08
196,2025-03-14,Pune,paid_social,variant,2025-03
197,2025-05-15,Bengaluru,direct,control,2025-05
198,2025-03-04,Chennai,organic_search,variant,2025-03
199,2025-05-26,Pune,paid_social,variant,2025-05
200,2025-08-04,Ahmedabad,referral,variant,2025-08
201,2025-05-18,Hyderabad,paid_social,variant,2025-05
202,2025-08-18,Bengaluru,paid_social,variant,2025-08
203,2025-05-09,Pune,paid_social,control,2025-05
204,2025-07-02,Chennai,organic_search,control,2025-07
205,2025-05-08,Hyderabad,organic_search,variant,2025-05
206,2025-04-22,Pune,email,variant,2025-04
207,2025-07-24,Hyderabad,paid_social,variant,2025-07
208,2025-08-24,Bengaluru,organic_search,control,2025-08
209,2025-04-06,Bengaluru,organic_search,control,2025-04
210,2025-07-15,Ahmedabad,direct,control,2025-07
211,2025-04-04,Chennai,organic_search,control,2025-04
212,2025-07-18,Mumbai,email,control,2025-07
213,2025-07-10,Ahmedabad,paid_social,control,2025-07
214,2025-05-19,Chennai,paid_social,variant,2025-05
215,2025-07-18,Mumbai,organic_search,variant,2025-07
216,2025-04-27,Chennai,organic_search,variant,2025-04
217,2025-03-14,Pune,paid_social,variant,2025-03
218,2025-03-10,Ahmedabad,email,control,2025-03
219,2025-05-14,Hyderabad,organic_search,control,2025-05
220,2025-08-02,Pune,paid_social,variant,2025-08
221,2025-03-04,Bengaluru,paid_social,variant,2025-03
222,2025-05-14,Bengaluru,organic_search,variant,2025-05
223,2025-07-22,Pune,paid_social,variant,2025-07
224,2025-04-14,Kolkata,organic_search,variant,2025-04
225,2025-07-20,Ahmedabad,paid_social,variant,2025-07
226,2025-04-04,Kolkata,organic_search,variant,2025-04
227,2025-07-11,Pune,paid_social,variant,2025-07
228,2025-06-16,Pune,organic_search,control,2025-06
229,2025-06-08,Bengaluru,paid_social,control,2025-06
230,2025-03-31,Kolkata,paid_social,control,2025-03
231,2025-05-02,Bengaluru,referral,variant,2025-05
232,2025-08-23,Bengaluru,paid_social,variant,2025-08
233,2025-03-17,Kolkata,direct,control,2025-03
234,2025-07-06,Pune,organic_search,control,2025-07
235,2025-05-07,Bengaluru,paid_social,variant,2025-05
236,2025-06-30,Kolkata,organic_search,control,2025-06
237,2025-06-25,Ahmedabad,paid_social,variant,2025-06
238,2025-05-03,Bengaluru,email,control,2025-05
239,2025-04-21,Pune,direct,control,2025-04
240,2025-06-05,Hyderabad,paid_social,control,2025-06
241,2025-03-10,Chennai,email,control,2025-03
242,2025-06-06,Ahmedabad,organic_search,control,2025-06
243,2025-03-24,Pune,organic_search,control,2025-03
244,2025-05-30,Kolkata,direct,control,2025-05
245,2025-06-08,Pune,organic_search,control,2025-06
246,2025-03-08,Ahmedabad,organic_search,variant,2025-03
247,2025-07-06,Hyderabad,referral,control,2025-07
248,2025-05-05,Hyderabad,referral,control,2025-05
249,2025-07-24,Hyderabad,email,control,2025-07
250,2025-03-11,Ahmedabad,paid_social,variant,2025-03
251,2025-04-11,Pune,direct,variant,2025-04
252,2025-05-10,Delhi,organic_search,variant,2025-05
253,2025-04-27,Mumbai,paid_social,variant,2025-04
254,2025-04-09,Pune,paid_social,control,2025-04
255,2025-06-08,Kolkata,referral,variant,2025-06
256,2025-03-10,Hyderabad,referral,control,2025-03
257,2025-07-08,Pune,email,variant,2025-07
258,2025-03-03,Kolkata,organic_search,control,2025-03
259,2025-04-16,Pune,paid_social,control,2025-04
260,2025-05-30,Ahmedabad,organic_search,variant,2025-05
261,2025-07-05,Chennai,direct,variant,2025-07
262,2025-04-05,Chennai,organic_search,variant,2025-04
263,2025-04-08,Kolkata,organic_search,control,2025-04
264,2025-08-19,Chennai,email,control,2025-08
265,2025-08-14,Mumbai,paid_social,control,2025-08
266,2025-06-26,Hyderabad,direct,control,2025-06
267,2025-05-09,Delhi,organic_search,control,2025-05
268,2025-05-25,Pune,direct,control,2025-05
269,2025-05-31,Delhi,organic_search,variant,2025-05
270,2025-06-13,Pune,organic_search,control,2025-06
271,2025-04-22,Bengaluru,paid_social,variant,2025-04
272,2025-03-15,Mumbai,organic_search,variant,2025-03
273,2025-03-27,Mumbai,paid_social,variant,2025-03
274,2025-08-06,Pune,organic_search,control,2025-08
275,2025-04-30,Mumbai,organic_search,control,2025-04
276,2025-05-21,Kolkata,email,control,2025-05
277,2025-05-01,Kolkata,organic_search,variant,2025-05
278,2025-07-20,Chennai,email,control,2025-07
279,2025-03-21,Delhi,email,control,2025-03
280,2025-03-24,Kolkata,organic_search,variant,2025-03
281,2025-04-13,Chennai,direct,variant,2025-04
282,2025-05-25,Hyderabad,organic_search,variant,2025-05
283,2025-07-03,Mumbai,paid_social,control,2025-07
284,2025-05-12,Pune,organic_search,variant,2025-05
285,2025-05-03,Kolkata,direct,control,2025-05
286,2025-08-19,Mumbai,paid_social,control,2025-08
287,2025-03-20,Mumbai,paid_social,variant,2025-03
288,2025-06-21,Hyderabad,referral,variant,2025-06
289,2025-06-20,Pune,organic_search,control,2025-06
290,2025-05-08,Hyderabad,direct,control,2025-05
291,2025-06-30,Hyderabad,email,control,2025-06
292,2025-04-26,Bengaluru,referral,variant,2025-04
293,2025-08-11,Mumbai,referral,variant,2025-08
294,2025-04-02,Mumbai,referral,control,2025-04
295,2025-06-24,Mumbai,organic_search,control,2025-06
296,2025-06-26,Chennai,direct,variant,2025-06
297,2025-08-10,Kolkata,direct,variant,2025-08
298,2025-05-21,Hyderabad,email,control,2025-05
299,2025-04-01,Mumbai,organic_search,variant,2025-04
300,2025-03-03,Hyderabad,referral,variant,2025-03
301,2025-05-07,Ahmedabad,organic_search,control,2025-05
302,2025-07-17,Delhi,paid_social,variant,2025-07
303,2025-03-04,Hyderabad,paid_social,variant,2025-03
304,2025-07-29,Pune,organic_search,variant,2025-07
305,2025-06-17,Bengaluru,email,variant,2025-06
306,2025-03-22,Hyderabad,organic_search,variant,2025-03
307,2025-04-20,Hyderabad,email,variant,2025-04
308,2025-06-21,Hyderabad,direct,control,2025-06
309,2025-04-22,Chennai,organic_search,variant,2025-04
310,2025-03-17,Pune,email,control,2025-03
311,2025-06-13,Mumbai,organic_search,control,2025-06
312,2025-07-22,Mumbai,direct,control,2025-07
313,2025-03-10,Hyderabad,referral,variant,2025-03
314,2025-04-02,Ahmedabad,organic_search,variant,2025-04
315,2025-04-21,Mumbai,email,variant,2025-04
316,2025-06-06,Mumbai,paid_social,variant,2025-06
317,2025-07-26,Chennai,paid_social,control,2025-07
318,2025-07-10,Hyderabad,email,variant,2025-07
319,2025-08-21,Delhi,paid_social,variant,2025-08
320,2025-06-30,Delhi,email,control,2025-06
321,2025-04-18,Chennai,organic_search,variant,2025-04
322,2025-03-13,Pune,paid_social,variant,2025-03
323,2025-06-11,Chennai,direct,control,2025-06
324,2025-08-05,Bengaluru,organic_search,variant,2025-08
325,2025-08-25,Pune,paid_social,control,2025-08
326,2025-04-10,Kolkata,organic_search,control,2025-04
327,2025-04-23,Bengaluru,direct,control,2025-04
328,2025-03-12,Hyderabad,paid_social,control,2025-03
329,2025-03-02,Delhi,paid_social,control,2025-03
330,2025-06-23,Chennai,organic_search,variant,2025-06
331,2025-06-04,Mumbai,paid_social,control,2025-06
332,2025-05-07,Delhi,referral,variant,2025-05
333,2025-04-24,Chennai,paid_social,variant,2025-04
334,2025-07-24,Mumbai,paid_social,control,2025-07
335,2025-05-25,Ahmedabad,email,control,2025-05
336,2025-07-10,Hyderabad,paid_social,variant,2025-07
337,2025-08-19,Hyderabad,paid_social,variant,2025-08
338,2025-04-09,Pune,organic_search,variant,2025-04
339,2025-04-20,Chennai,organic_search,control,2025-04
340,2025-08-12,Hyderabad,email,variant,2025-08
341,2025-05-31,Ahmedabad,direct,variant,2025-05
342,2025-04-11,Ahmedabad,referral,variant,2025-04
343,2025-06-12,Delhi,direct,control,2025-06
344,2025-06-06,Chennai,paid_social,variant,2025-06
345,2025-08-08,Bengaluru,organic_search,control,2025-08
346,2025-04-14,Ahmedabad,email,variant,2025-04
347,2025-07-30,Bengaluru,referral,variant,2025-07
348,2025-08-02,Bengaluru,email,variant,2025-08
349,2025-04-21,Chennai,paid_social,control,2025-04
350,2025-03-10,Kolkata,email,variant,2025-03
351,2025-06-16,Delhi,direct,control,2025-06
352,2025-03-16,Pune,referral,control,2025-03
353,2025-04-15,Bengaluru,direct,variant,2025-04
354,2025-05-11,Pune,paid_social,variant,2025-05
355,2025-08-11,Pune,organic_search,control,2025-08
356,2025-08-21,Ahmedabad,paid_social,variant,2025-08
357,2025-03-28,Ahmedabad,organic_search,control,2025-03
358,2025-08-05,Chennai,referral,variant,2025-08
359,2025-03-19,Chennai,paid_social,variant,2025-03
360,2025-07-26,Ahmedabad,paid_social,variant,2025-07
361,2025-07-29,Delhi,organic_search,variant,2025-07
362,2025-08-19,Chennai,email,variant,2025-08
363,2025-04-13,Kolkata,paid_social,control,2025-04
364,2025-08-25,Delhi,organic_search,variant,2025-08
365,2025-03-17,Ahmedabad,direct,control,2025-03
366,2025-06-22,Chennai,paid_social,control,2025-06
367,2025-05-04,Bengaluru,paid_social,variant,2025-05
368,2025-04-03,Hyderabad,organic_search,control,2025-04
369,2025-03-26,Hyderabad,paid_social,control,2025-03
370,2025-07-13,Ahmedabad,email,variant,2025-07
371,2025-05-15,Ahmedabad,direct,control,2025-05
372,2025-06-03,Kolkata,organic_search,control,2025-06
373,2025-05-06,Chennai,referral,control,2025-05
374,2025-05-22,Mumbai,email,control,2025-05
375,2025-08-06,Ahmedabad,organic_search,variant,2025-08
376,2025-03-17,Delhi,organic_search,variant,2025-03
377,2025-07-07,Delhi,organic_search,variant,2025-07
378,2025-07-06,Mumbai,direct,control,2025-07
379,2025-05-04,Ahmedabad,organic_search,variant,2025-05
380,2025-04-26,Hyderabad,paid_social,control,2025-04
381,2025-03-27,Delhi,email,variant,2025-03
382,2025-08-01,Mumbai,direct,variant,2025-08
383,2025-08-07,Hyderabad,email,control,2025-08
384,2025-04-15,Chennai,direct,variant,2025-04
385,2025-03-11,Ahmedabad,organic_search,variant,2025-03
386,2025-03-21,Pune,direct,control,2025-03
387,2025-03-08,Pune,organic_search,variant,2025-03
388,2025-06-30,Kolkata,organic_search,variant,2025-06
389,2025-08-07,Ahmedabad,referral,control,2025-08
390,2025-03-17,Bengaluru,organic_search,control,2025-03
391,2025-07-04,Ahmedabad,organic_search,variant,2025-07
392,2025-04-22,Pune,email,variant,2025-04
393,2025-04-30,Ahmedabad,organic_search,variant,2025-04
394,2025-05-31,Mumbai,organic_search,variant,2025-05
395,2025-07-13,Mumbai,email,variant,2025-07
396,2025-08-12,Ahmedabad,direct,control,2025-08
397,2025-03-09,Chennai,direct,control,2025-03
398,2025-04-07,Delhi,organic_search,control,2025-04
399,2025-04-01,Ahmedabad,paid_social,variant,2025-04
400,2025-04-18,Mumbai,direct,variant,2025-04
401,2025-08-08,Chennai,organic_search,variant,2025-08
402,2025-07-02,Delhi,organic_search,control,2025-07
403,2025-04-11,Mumbai,organic_search,variant,2025-04
404,2025-08-24,Kolkata,paid_social,variant,2025-08
405,2025-05-07,Kolkata,organic_search,control,2025-05
406,2025-06-24,Mumbai,email,control,2025-06
407,2025-05-07,Mumbai,referral,variant,2025-05
408,2025-03-06,Pune,organic_search,variant,2025-03
409,2025-08-05,Mumbai,email,variant,2025-08
410,2025-03-10,Chennai,organic_search,control,2025-03
411,2025-04-03,Ahmedabad,organic_search,variant,2025-04
412,2025-04-16,Kolkata,direct,control,2025-04
413,2025-04-09,Delhi,paid_social,control,2025-04
414,2025-03-21,Delhi,referral,variant,2025-03
415,2025-03-14,Chennai,paid_social,control,2025-03
416,2025-07-11,Mumbai,organic_search,variant,2025-07
417,2025-08-11,Pune,paid_social,control,2025-08
418,2025-03-05,Hyderabad,organic_search,control,2025-03
419,2025-04-19,Chennai,direct,control,2025-04
420,2025-06-01,Delhi,email,variant,2025-06
421,2025-08-18,Kolkata,organic_search,control,2025-08
422,2025-07-26,Chennai,paid_social,control,2025-07
423,2025-07-20,Delhi,email,control,2025-07
424,2025-06-11,Bengaluru,direct,control,2025-06
425,2025-05-08,Mumbai,organic_search,variant,2025-05
426,2025-04-24,Hyderabad,organic_search,control,2025-04
427,2025-08-05,Bengaluru,organic_search,control,2025-08
428,2025-07-12,Mumbai,paid_social,variant,2025-07
429,2025-03-22,Pune,paid_social,control,2025-03
430,2025-07-24,Pune,organic_search,variant,2025-07
431,2025-03-26,Mumbai,paid_social,control,2025-03
432,2025-07-01,Delhi,paid_social,variant,2025-07
433,2025-07-24,Mumbai,organic_search,control,2025-07
434,2025-03-04,Chennai,referral,control,2025-03
435,2025-05-16,Bengaluru,paid_social,control,2025-05
436,2025-03-27,Mumbai,paid_social,variant,2025-03
437,2025-06-17,Delhi,paid_social,control,2025-06
438,2025-08-24,Ahmedabad,organic_search,variant,2025-08
439,2025-03-10,Bengaluru,direct,variant,2025-03
440,2025-05-08,Chennai,paid_social,control,2025-05
441,2025-08-07,Hyderabad,paid_social,control,2025-08
442,2025-04-09,Delhi,referral,control,2025-04
443,2025-03-20,Bengaluru,direct,variant,2025-03
444,2025-05-12,Mumbai,direct,variant,2025-05
445,2025-06-19,Chennai,organic_search,variant,2025-06
446,2025-06-10,Bengaluru,organic_search,control,2025-06
447,2025-04-08,Hyderabad,email,variant,2025-04
448,2025-08-03,Delhi,paid_social,control,2025-08
449,2025-06-14,Kolkata,email,control,2025-06
450,2025-04-25,Delhi,direct,control,2025-04
451,2025-08-22,Pune,organic_search,control,2025-08
452,2025-08-05,Kolkata,organic_search,variant,2025-08
453,2025-05-13,Chennai,paid_social,variant,2025-05
454,2025-03-20,Pune,organic_search,control,2025-03
455,2025-06-16,Ahmedabad,email,control,2025-06
456,2025-05-31,Delhi,email,variant,2025-05
457,2025-03-17,Ahmedabad,paid_social,variant,2025-03
458,2025-05-31,Pune,email,control,2025-05
459,2025-08-01,Hyderabad,paid_social,control,2025-08
460,2025-03-19,Bengaluru,email,variant,2025-03
461,2025-07-01,Chennai,organic_search,variant,2025-07
462,2025-03-10,Ahmedabad,email,variant,2025-03
463,2025-07-15,Chennai,email,control,2025-07
464,2025-05-18,Mumbai,organic_search,variant,2025-05
465,2025-03-13,Hyderabad,paid_social,control,2025-03
466,2025-07-31,Chennai,direct,variant,2025-07
467,2025-03-23,Hyderabad,organic_search,control,2025-03
468,2025-06-25,Kolkata,email,control,2025-06
469,2025-04-24,Chennai,referral,control,2025-04
470,2025-08-18,Mumbai,direct,control,2025-08
471,2025-07-10,Pune,paid_social,control,2025-07
472,2025-07-23,Delhi,email,variant,2025-07
473,2025-05-13,Hyderabad,referral,variant,2025-05
474,2025-05-03,Hyderabad,paid_social,variant,2025-05
475,2025-06-22,Kolkata,organic_search,control,2025-06
476,2025-07-07,Kolkata,organic_search,control,2025-07
477,2025-08-24,Hyderabad,direct,control,2025-08
478,2025-03-11,Pune,paid_social,control,2025-03
479,2025-06-23,Chennai,organic_search,control,2025-06
480,2025-03-16,Chennai,organic_search,variant,2025-03
481,2025-04-13,Chennai,direct,variant,2025-04
482,2025-07-07,Kolkata,paid_social,control,2025-07
483,2025-04-23,Ahmedabad,direct,variant,2025-04
484,2025-06-30,Kolkata,email,variant,2025-06
485,2025-05-13,Delhi,referral,control,2025-05
486,2025-04-10,Hyderabad,direct,variant,2025-04
487,2025-05-15,Hyderabad,organic_search,control,2025-05
488,2025-06-06,Pune,email,control,2025-06
489,2025-07-17,Pune,organic_search,variant,2025-07
490,2025-06-09,Chennai,referral,variant,2025-06
491,2025-08-03,Hyderabad,organic_search,control,2025-08
492,2025-08-03,Bengaluru,email,control,2025-08
493,2025-07-18,Hyderabad,direct,variant,2025-07
494,2025-06-06,Kolkata,organic_search,control,2025-06
495,2025-04-08,Bengaluru,direct,variant,2025-04
496,2025-05-17,Mumbai,organic_search,variant,2025-05
497,2025-03-10,Ahmedabad,paid_social,control,2025-03
498,2025-05-10,Delhi,paid_social,variant,2025-05
499,2025-08-04,Pune,paid_social,variant,2025-08
500,2025-05-09,Kolkata,paid_social,variant,2025-05
501,2025-03-20,Bengaluru,referral,control,2025-03
502,2025-06-13,Bengaluru,organic_search,control,2025-06
503,2025-08-25,Bengaluru,paid_social,control,2025-08
504,2025-08-19,Delhi,direct,variant,2025-08
505,2025-03-31,Delhi,direct,variant,2025-03
506,2025-05-10,Delhi,organic_search,variant,2025-05
507,2025-06-07,Hyderabad,referral,variant,2025-06
508,2025-04-16,Pune,organic_search,control,2025-04
509,2025-04-07,Mumbai,paid_social,control,2025-04
510,2025-04-27,Kolkata,paid_social,variant,2025-04
511,2025-08-06,Chennai,direct,variant,2025-08
512,2025-07-13,Mumbai,organic_search,variant,2025-07
513,2025-08-01,Kolkata,organic_search,control,2025-08
514,2025-07-24,Mumbai,direct,control,2025-07
515,2025-08-23,Pune,organic_search,variant,2025-08
516,2025-03-23,Hyderabad,paid_social,control,2025-03
517,2025-08-07,Pune,email,control,2025-08
518,2025-03-02,Ahmedabad,email,variant,2025-03
519,2025-05-19,Ahmedabad,organic_search,variant,2025-05
520,2025-06-11,Bengaluru,organic_search,variant,2025-06
521,2025-05-27,Pune,referral,variant,2025-05
522,2025-03-20,Ahmedabad,paid_social,variant,2025-03
523,2025-04-15,Chennai,organic_search,control,2025-04
524,2025-07-26,Ahmedabad,organic_search,control,2025-07
