session_id,customer_id,event_date,funnel_step,category,checkout_variant
35,10,2025-03-22 00:03:00,add_to_cart,Sports,control
36,10,2025-03-23 00:00:00,view,Books,control
37,10,2025-03-31 00:00:00,view,Books,control
38,10,2025-07-08 00:00:00,view,Beauty,control
39,10,2025-07-08 00:00:00,view,Books,control
39,10,2025-07-08 00:03:00,add_to_cart,Beauty,control
40,11,2025-06-23 00:00:00,view,Sports,variant
41,11,2025-06-30 00:00:00,view,Home & Kitchen,variant
42,12,2025-08-24 00:00:00,view,Beauty,variant
43,12,2025-08-26 00:00:00,view,Books,variant
43,12,2025-08-26 00:03:00,add_to_cart,Books,variant
43,12,2025-08-26 00:06:00,checkout,Fashion,variant
43,12,2025-08-26 00:09:00,purchase,Electronics,variant
44,12,2025-08-26 00:00:00,view,Sports,variant
45,13,2025-07-24 00:00:00,view,Fashion,control
46,13,2025-07-23 00:00:00,view,Beauty,control
47,13,2025-08-04 00:00:00,view,Books,control
48,13,2025-07-30 00:00:00,view,Sports,control
49,14,2025-08-04 00:00:00,view,Sports,control
50,15,2025-08-01 00:00:00,view,Fashion,variant
51,16,2025-07-27 00:00:00,view,Fashion,control
51,16,2025-07-27 00:03:00,add_to_cart,Electronics,control
51,16,2025-07-27 00:06:00,checkout,Beauty,control
52,16,2025-07-26 00:00:00,view,Sports,control
52,16,2025-07-26 00:03:00,add_to_cart,Fashion,control
52,16,2025-07-26 00:06:00,checkout,Books,control
52,16,2025-07-26 00:09:00,purchase,Fashion,control
53,17,2025-07-02 00:00:00,view,Fashion,variant
53,17,2025-07-02 00:03:00,add_to_cart,Home & Kitchen,variant
54,17,2025-06-28 00:00:00,view,Books,variant
54,17,2025-06-28 00:03:00,add_to_cart,Beauty,variant
55,17,2025-06-11 00:00:00,view,Beauty,variant
55,17,2025-06-11 00:03:00,add_to_cart,Beauty,variant
55,17,2025-06-11 00:06:00,checkout,Home & Kitchen,variant
56,18,2025-03-22 00:00:00,view,Books,variant
57,18,2025-04-10 00:00:00,view,Electronics,variant
57,18,2025-04-10 00:03:00,add_to_cart,Fashion,variant
57,18,2025-04-10 00:06:00,checkout,Books,variant
57,18,2025-04-10 00:09:00,purchase,Sports,variant
58,18,2025-04-19 00:00:00,view,Electronics,variant
59,18,2025-06-23 00:00:00,view,Books,variant
60,19,2025-08-14 00:00:00,view,Sports,control
61,19,2025-08-30 00:00:00,view,Sports,control
62,20,2025-06-13 00:00:00,view,Sports,variant
63,20,2025-06-04 00:00:00,view,Fashion,variant
64,20,2025-06-06 00:00:00,view,Home & Kitchen,variant
65,20,2025-05-24 00:00:00,view,Fashion,variant
66,20,2025-05-24 00:00:00,view,Sports,variant
67,20,2025-06-15 00:00:00,view,Electronics,variant
68,20,2025-05-29 00:00:00,view,Electronics,variant
68,20,2025-05-29 00:03:00,add_to_cart,Home & Kitchen,variant
68,20,2025-05-29 00:06:00,checkout,Home & Kitchen,variant
69,21,2025-06-06 00:00:00,view,Home & Kitchen,control
69,21,2025-06-06 00:03:00,add_to_cart,Home & Kitchen,control
70,21,2025-06-28 00:00:00,view,Home & Kitchen,control
71,21,2025-06-19 00:00:00,view,Beauty,control
71,21,2025-06-19 00:03:00,add_to_cart,Home & Kitchen,control
72,21,2025-07-20 00:00:00,view,Electronics,control
72,21,2025-07-20 00:03:00,add_to_cart,Fashion,control
73,21,2025-07-15 00:00:00,view,Home & Kitchen,control
74,22,2025-05-03 00:00:00,view,Books,control
75,22,2025-05-20 00:00:00,view,Home & Kitchen,control
76,22,2025-05-10 00:00:00,view,Sports,control
77,22,2025-05-18 00:00:00,view,Books,control
77,22,2025-05-18 00:03:00,add_to_cart,Fashion,control
77,22,2025-05-18 00:06:00,checkout,Home & Kitchen,control
78,23,2025-04-21 00:00:00,view,Books,control
78,23,2025-04-21 00:03:00,add_to_cart,Home & Kitchen,control
78,23,2025-04-21 00:06:00,checkout,Books,control
79,24,2025-08-17 00:00:00,view,Books,variant
79,24,2025-08-17 00:03:00,add_to_cart,Books,variant
79,24,2025-08-17 00:06:00,checkout,Electronics,variant
80,24,2025-08-30 00:00:00,view,Beauty,variant
80,24,2025-08-30 00:03:00,add_to_cart,Beauty,variant
81,25,2025-07-13 00:00:00,view,Books,control
82,26,2025-06-16 00:00:00,view,Books,control
82,26,2025-06-16 00:03:00,add_to_cart,Books,control
82,26,2025-06-16 00:06:00,checkout,Electronics,control
82,26,2025-06-16 00:09:00,purchase,Fashion,control
83,27,2025-06-01 00:00:00,view,Fashion,variant
84,27,2025-05-30 00:00:00,view,Beauty,variant
85,28,2025-08-05 00:00:00,view,Electronics,control
85,28,2025-08-05 00:03:00,add_to_cart,Beauty,control
85,28,2025-08-05 00:06:00,checkout,Electronics,control
85,28,2025-08-05 00:09:00,purchase,Books,control
86,28,2025-07-13 00:00:00,view,Home & Kitchen,control
87,29,2025-07-15 00:00:00,view,Electronics,variant
88,29,2025-07-09 00:00:00,view,Beauty,variant
88,29,2025-07-09 00:03:00,add_to_cart,Beauty,variant
88,29,2025-07-09 00:06:00,checkout,Sports,variant
88,29,2025-07-09 00:09:00,purchase,Sports,variant
89,29,2025-06-29 00:00:00,view,Beauty,variant
90,30,2025-06-05 00:00:00,view,Fashion,variant
90,30,2025-06-05 00:03:00,add_to_cart,Electronics,variant
90,30,2025-06-05 00:06:00,checkout,Sports,variant
90,30,2025-06-05 00:09:00,purchase,Fashion,variant
91,30,2025-06-03 00:00:00,view,Books,variant
92,31,2025-06-02 00:00:00,view,Home & Kitchen,variant
93,31,2025-05-16 00:00:00,view,Home & Kitchen,variant
93,31,2025-05-16 00:03:00,add_to_cart,Books,variant
93,31,2025-05-16 00:06:00,checkout,Electronics,variant
94,32,2025-04-19 00:00:00,view,Books,variant
95,32,2025-05-03 00:00:00,view,Home & Kitchen,variant
96,32,2025-05-11 00:00:00,view,Fashion,variant
97,33,2025-03-11 00:00:00,view,Books,variant
97,33,2025-03-11 00:03:00,add_to_cart,Sports,variant
98,33,2025-03-12 00:00:00,view,Books,variant
99,33,2025-03-18 00:00:00,view,Fashion,variant
100,34,2025-06-11 00:00:00,view,Home & Kitchen,control
101,34,2025-06-08 00:00:00,view,Home & Kitchen,control
102,34,2025-06-26 00:00:00,view,Books,control
102,34,2025-06-26 00:03:00,add_to_cart,Beauty,control
102,34,2025-06-26 00:06:00,checkout,Fashion,control
102,34,2025-06-26 00:09:00,purchase,Home & Kitchen,control
103,34,2025-06-30 00:00:00,view,Beauty,control
104,34,2025-07-03 00:00:00,view,Beauty,control
104,34,2025-07-03 00:03:00,add_to_cart,Books,control
105,35,2025-08-27 00:00:00,view,Electronics,variant
105,35,2025-08-27 00:03:00,add_to_cart,Home & Kitchen,variant
105,35,2025-08-27 00:06:00,checkout,Electronics,variant
105,35,2025-08-27 00:09:00,purchase,Sports,variant
106,35,2025-08-25 00:00:00,view,Home & Kitchen,variant
107,35,2025-09-01 00:00:00,view,Electronics,variant
108,36,2025-03-07 00:00:00,view,Beauty,variant
109,36,2025-03-12 00:00:00,view,Fashion,variant
110,36,2025-03-24 00:00:00,view,Fashion,variant
110,36,2025-03-24 00:03:00,add_to_cart,Electronics,variant
111,36,2025-03-20 00:00:00,view,Fashion,variant
112,36,2025-04-24 00:00:00,view,Electronics,variant
113,36,2025-04-25 00:00:00,view,Electronics,variant
113,36,2025-04-25 00:03:00,add_to_cart,Home & Kitchen,variant
114,37,2025-09-03 00:00:00,view,Beauty,variant
115,38,2025-07-24 00:00:00,view,Beauty,variant
115,38,2025-07-24 00:03:00,add_to_cart,Books,variant
115,38,2025-07-24 00:06:00,checkout,Fashion,variant
115,38,2025-07-24 00:09:00,purchase,Fashion,variant
116,38,2025-07-24 00:00:00,view,Electronics,variant
116,38,2025-07-24 00:03:00,add_to_cart,Books,variant
117,38,2025-07-30 00:00:00,view,Beauty,variant
118,38,2025-08-03 00:00:00,view,Books,variant
118,38,2025-08-03 00:03:00,add_to_cart,Fashion,variant
118,38,2025-08-03 00:06:00,checkout,Electronics,variant
118,38,2025-08-03 00:09:00,purchase,Sports,variant
119,38,2025-08-01 00:00:00,view,Electronics,variant
119,38,2025-08-01 00:03:00,add_to_cart,Beauty,variant
120,38,2025-07-25 00:00:00,view,Home & Kitchen,variant
121,39,2025-05-05 00:00:00,view,Beauty,variant
122,39,2025-04-22 00:00:00,view,Electronics,variant
122,39,2025-04-22 00:03:00,add_to_cart,Sports,variant
122,39,2025-04-22 00:06:00,checkout,Electronics,variant
122,39,2025-04-22 00:09:00,purchase,Electronics,variant
123,39,2025-04-19 00:00:00,view,Beauty,variant
124,39,2025-04-25 00:00:00,view,Sports,variant
125,39,2025-04-08 00:00:00,view,Home & Kitchen,variant
126,39,2025-04-12 00:00:00,view,Sports,variant
126,39,2025-04-12 00:03:00,add_to_cart,Books,variant
126,39,2025-04-12 00:06:00,checkout,Electronics,variant
127,39,2025-04-29 00:00:00,view,Electronics,variant
128,39,2025-06-21 00:00:00,view,Electronics,variant
128,39,2025-06-21 00:03:00,add_to_cart,Fashion,variant
128,39,2025-06-21 00:06:00,checkout,Home & Kitchen,variant
128,39,2025-06-21 00:09:00,purchase,Beauty,variant
129,39,2025-07-01 00:00:00,view,Electronics,variant
129,39,2025-07-01 00:03:00,add_to_cart,Fashion,variant
129,39,2025-07-01 00:06:00,checkout,Fashion,variant
130,39,2025-06-15 00:00:00,view,Home & Kitchen,variant
131,40,2025-06-17 00:00:00,view,Beauty,variant
132,40,2025-06-27 00:00:00,view,Books,variant
133,40,2025-06-26 00:00:00,view,Sports,variant
134,40,2025-08-02 00:00:00,view,Fashion,variant
135,41,2025-04-01 00:00:00,view,Fashion,control
136,41,2025-03-21 00:00:00,view,Sports,control
137,41,2025-04-01 00:00:00,view,Electronics,control
137,41,2025-04-01 00:03:00,add_to_cart,Home & Kitchen,control
137,41,2025-04-01 00:06:00,checkout,Sports,control
137,41,2025-04-01 00:09:00,purchase,Home & Kitchen,control
138,41,2025-03-11 00:00:00,view,Beauty,control
138,41,2025-03-11 00:03:00,add_to_cart,Home & Kitchen,control
139,41,2025-03-24 00:00:00,view,Electronics,control
140,41,2025-04-03 00:00:00,view,Beauty,control
141,41,2025-03-19 00:00:00,view,Sports,control
142,41,2025-04-26 00:00:00,view,Fashion,control
142,41,2025-04-26 00:03:00,add_to_cart,Sports,control
143,41,2025-05-01 00:00:00,view,Books,control
143,41,2025-05-01 00:03:00,add_to_cart,Sports,control
144,41,2025-04-25 00:00:00,view,Beauty,control
144,41,2025-04-25 00:03:00,add_to_cart,Books,control
145,42,2025-08-03 00:00:00,view,Electronics,control
146,43,2025-07-28 00:00:00,view,Books,variant
147,43,2025-08-06 00:00:00,view,Books,variant
147,43,2025-08-06 00:03:00,add_to_cart,Fashion,variant
147,43,2025-08-06 00:06:00,checkout,Fashion,variant
148,43,2025-07-29 00:00:00,view,Home & Kitchen,variant
148,43,2025-07-29 00:03:00,add_to_cart,Home & Kitchen,variant
149,43,2025-08-07 00:00:00,view,Sports,variant
150,43,2025-07-24 00:00:00,view,Electronics,variant
151,44,2025-05-29 00:00:00,view,Sports,variant
151,44,2025-05-29 00:03:00,add_to_cart,Beauty,variant
151,44,2025-05-29 00:06:00,checkout,Fashion,variant
151,44,2025-05-29 00:09:00,purchase,Home & Kitchen,variant
152,45,2025-03-27 00:00:00,view,Home & Kitchen,control
153,45,2025-05-01 00:00:00,view,Books,control
154,45,2025-04-17 00:00:00,view,Electronics,control
155,45,2025-05-02 00:00:00,view,Home & Kitchen,control
156,45,2025-05-06 00:00:00,view,Fashion,control
156,45,2025-05-06 00:03:00,add_to_cart,Fashion,control
157,45,2025-05-05 00:00:00,view,Sports,control
158,45,2025-05-25 00:00:00,view,Beauty,control
158,45,2025-05-25 00:03:00,add_to_cart,Sports,control
158,45,2025-05-25 00:06:00,checkout,Fashion,control
158,45,2025-05-25 00:09:00,purchase,Home & Kitchen,control
159,45,2025-05-20 00:00:00,view,Beauty,control
160,45,2025-05-30 00:00:00,view,Fashion,control
160,45,2025-05-30 00:03:00,add_to_cart,Books,control
161,45,2025-05-30 00:00:00,view,Fashion,control
162,45,2025-07-01 00:00:00,view,Home & Kitchen,control
163,45,2025-07-04 00:00:00,view,Fashion,control
164,46,2025-08-18 00:00:00,view,Sports,control
165,47,2025-06-02 00:00:00,view,Books,variant
166,48,2025-08-06 00:00:00,view,Sports,control
167,48,2025-08-25 00:00:00,view,Home & Kitchen,control
168,48,2025-08-16 00:00:00,view,Beauty,control
169,49,2025-07-18 00:00:00,view,Home & Kitchen,variant
170,49,2025-08-01 00:00:00,view,Books,variant
170,49,2025-08-01 00:03:00,add_to_cart,Beauty,variant
170,49,2025-08-01 00:06:00,checkout,Books,variant
170,49,2025-08-01 00:09:00,purchase,Home & Kitchen,variant
171,49,2025-08-02 00:00:00,view,Electronics,variant
172,49,2025-07-15 00:00:00,view,Beauty,variant
173,49,2025-07-08 00:00:00,view,Books,variant
174,50,2025-07-21 00:00:00,view,Sports,variant
174,50,2025-07-21 00:03:00,add_to_cart,Electronics,variant
175,50,2025-08-06 00:00:00,view,Home & Kitchen,variant
175,50,2025-08-06 00:03:00,add_to_cart,Books,variant
175,50,2025-08-06 00:06:00,checkout,Sports,variant
175,50,2025-08-06 00:09:00,purchase,Home & Kitchen,variant
176,50,2025-07-23 00:00:00,view,Books,variant
176,50,2025-07-23 00:03:00,add_to_cart,Electronics,variant
177,51,2025-07-15 00:00:00,view,Books,control
177,51,2025-07-15 00:03:00,add_to_cart,Books,control
178,51,2025-07-25 00:00:00,view,Sports,control
179,52,2025-05-03 00:00:00,view,Electronics,control
179,52,2025-05-03 00:03:00,add_to_cart,Books,control
180,53,2025-06-12 00:00:00,view,Home & Kitchen,variant
180,53,2025-06-12 00:03:00,add_to_cart,Books,variant
181,53,2025-06-06 00:00:00,view,Beauty,variant
181,53,2025-06-06 00:03:00,add_to_cart,Fashion,variant
182,53,2025-05-26 00:00:00,view,Electronics,variant
183,53,2025-05-30 00:00:00,view,Sports,variant
184,53,2025-05-28 00:00:00,view,Electronics,variant
185,53,2025-06-25 00:00:00,view,Electronics,variant
186,53,2025-07-04 00:00:00,view,Sports,variant
187,53,2025-06-27 00:00:00,view,Beauty,variant
187,53,2025-06-27 00:03:00,add_to_cart,Beauty,variant
187,53,2025-06-27 00:06:00,checkout,Home & Kitchen,variant
187,53,2025-06-27 00:09:00,purchase,Home & Kitchen,variant
188,54,2025-06-16 00:00:00,view,Electronics,control
189,54,2025-06-16 00:00:00,view,Sports,control
190,54,2025-06-06 00:00:00,view,Electronics,control
191,55,2025-05-06 00:00:00,view,Electronics,variant
192,55,2025-05-01 00:00:00,view,Fashion,variant
192,55,2025-05-01 00:03:00,add_to_cart,Beauty,variant
192,55,2025-05-01 00:06:00,checkout,Beauty,variant
192,55,2025-05-01 00:09:00,purchase,Electronics,variant
193,55,2025-06-25 00:00:00,view,Fashion,variant
193,55,2025-06-25 00:03:00,add_to_cart,Electronics,variant
194,56,2025-03-31 00:00:00,view,Fashion,control
194,56,2025-03-31 00:03:00,add_to_cart,Sports,control
194,56,2025-03-31 00:06:00,checkout,Fashion,control
194,56,2025-03-31 00:09:00,purchase,Fashion,control
195,56,2025-04-07 00:00:00,view,Electronics,control
195,56,2025-04-07 00:03:00,add_to_cart,Sports,control
195,56,2025-04-07 00:06:00,checkout,Electronics,control
195,56,2025-04-07 00:09:00,purchase,Beauty,control
196,56,2025-03-26 00:00:00,view,Beauty,control
196,56,2025-03-26 00:03:00,add_to_cart,Books,control
197,56,2025-03-22 00:00:00,view,Books,control
198,57,2025-07-10 00:00:00,view,Sports,control
198,57,2025-07-10 00:03:00,add_to_cart,Beauty,control
199,57,2025-07-24 00:00:00,view,Home & Kitchen,control
200,57,2025-08-01 00:00:00,view,Books,control
200,57,2025-08-01 00:03:00,add_to_cart,Home & Kitchen,control
201,57,2025-08-01 00:00:00,view,Books,control
201,57,2025-08-01 00:03:00,add_to_cart,Fashion,control
201,57,2025-08-01 00:06:00,checkout,Beauty,control
201,57,2025-08-01 00:09:00,purchase,Beauty,control
202,57,2025-08-14 00:00:00,view,Books,control
202,57,2025-08-14 00:03:00,add_to_cart,Home & Kitchen,control
202,57,2025-08-14 00:06:00,checkout,Sports,control
202,57,2025-08-14 00:09:00,purchase,Beauty,control
203,57,2025-08-10 00:00:00,view,Beauty,control
203,57,2025-08-10 00:03:00,add_to_cart,Sports,control
203,57,2025-08-10 00:06:00,checkout,Fashion,control
204,58,2025-03-31 00:00:00,view,Electronics,control
204,58,2025-03-31 00:03:00,add_to_cart,Electronics,control
205,58,2025-03-21 00:00:00,view,Beauty,control
206,58,2025-03-28 00:00:00,view,Books,control
207,58,2025-07-04 00:00:00,view,Beauty,control
207,58,2025-07-04 00:03:00,add_to_cart,Sports,control
207,58,2025-07-04 00:06:00,checkout,Home & Kitchen,control
207,58,2025-07-04 00:09:00,purchase,Electronics,control
208,58,2025-06-30 00:00:00,view,Books,control
208,58,2025-06-30 00:03:00,add_to_cart,Sports,control
208,58,2025-06-30 00:06:00,checkout,Sports,control
208,58,2025-06-30 00:09:00,purchase,Electronics,control
209,58,2025-06-18 00:00:00,view,Fashion,control
210,59,2025-07-29 00:00:00,view,Electronics,variant
211,60,2025-07-27 00:00:00,view,Home & Kitchen,variant
212,61,2025-08-24 00:00:00,view,Electronics,variant
212,61,2025-08-24 00:03:00,add_to_cart,Home & Kitchen,variant
213,61,2025-08-26 00:00:00,view,Fashion,variant
213,61,2025-08-26 00:03:00,add_to_cart,Sports,variant
214,61,2025-08-09 00:00:00,view,Beauty,variant
214,61,2025-08-09 00:03:00,add_to_cart,Books,variant
214,61,2025-08-09 00:06:00,checkout,Home & Kitchen,variant
214,61,2025-08-09 00:09:00,purchase,Beauty,variant
215,61,2025-08-04 00:00:00,view,Sports,variant
216,62,2025-07-12 00:00:00,view,Sports,control
217,62,2025-07-21 00:00:00,view,Books,control
217,62,2025-07-21 00:03:00,add_to_cart,Books,control
218,62,2025-07-09 00:00:00,view,Fashion,control
219,62,2025-07-24 00:00:00,view,Fashion,control
220,63,2025-05-17 00:00:00,view,Electronics,variant
221,63,2025-06-09 00:00:00,view,Electronics,variant
222,63,2025-05-21 00:00:00,view,Electronics,variant
222,63,2025-05-21 00:03:00,add_to_cart,Books,variant
222,63,2025-05-21 00:06:00,checkout,Electronics,variant
223,63,2025-06-02 00:00:00,view,Fashion,variant
223,63,2025-06-02 00:03:00,add_to_cart,Home & Kitchen,variant
223,63,2025-06-02 00:06:00,checkout,Books,variant
224,63,2025-05-19 00:00:00,view,Beauty,variant
224,63,2025-05-19 00:03:00,add_to_cart,Home & Kitchen,variant
225,63,2025-06-10 00:00:00,view,Fashion,variant
225,63,2025-06-10 00:03:00,add_to_cart,Beauty,variant
226,63,2025-07-28 00:00:00,view,Books,variant
227,63,2025-08-10 00:00:00,view,Home & Kitchen,variant
227,63,2025-08-10 00:03:00,add_to_cart,Electronics,variant
228,64,2025-09-05 00:00:00,view,Sports,control
229,64,2025-08-22 00:00:00,view,Fashion,control
230,64,2025-08-18 00:00:00,view,Beauty,control
231,64,2025-08-22 00:00:00,view,Books,control
232,64,2025-08-31 00:00:00,view,Fashion,control
232,64,2025-08-31 00:03:00,add_to_cart,Fashion,control
233,65,2025-05-21 00:00:00,view,Sports,variant
233,65,2025-05-21 00:03:00,add_to_cart,Home & Kitchen,variant
234,65,2025-05-30 00:00:00,view,Sports,variant
234,65,2025-05-30 00:03:00,add_to_cart,Fashion,variant
234,65,2025-05-30 00:06:00,checkout,Books,variant
234,65,2025-05-30 00:09:00,purchase,Home & Kitchen,variant
235,66,2025-04-11 00:00:00,view,Electronics,variant
236,66,2025-05-01 00:00:00,view,Books,variant
237,66,2025-05-03 00:00:00,view,Sports,variant
237,66,2025-05-03 00:03:00,add_to_cart,Beauty,variant
237,66,2025-05-03 00:06:00,checkout,Sports,variant
238,66,2025-04-13 00:00:00,view,Fashion,variant
239,66,2025-04-27 00:00:00,view,Books,variant
240,66,2025-05-01 00:00:00,view,Books,variant
240,66,2025-05-01 00:03:00,add_to_cart,Books,variant
240,66,2025-05-01 00:06:00,checkout,Books,variant
240,66,2025-05-01 00:09:00,purchase,Fashion,variant
241,67,2025-09-12 00:00:00,view,Home & Kitchen,control
242,67,2025-09-17 00:00:00,view,Fashion,control
243,67,2025-09-07 00:00:00,view,Fashion,control
244,67,2025-09-13 00:00:00,view,Electronics,control
245,68,2025-05-15 00:00:00,view,Beauty,variant
245,68,2025-05-15 00:03:00,add_to_cart,Sports,variant
246,69,2025-03-26 00:00:00,view,Fashion,control
247,69,2025-03-31 00:00:00,view,Beauty,control
248,69,2025-03-21 00:00:00,view,Electronics,control
249,69,2025-04-08 00:00:00,view,Books,control
250,69,2025-03-27 00:00:00,view,Books,control
251,69,2025-05-13 00:00:00,view,Electronics,control
252,69,2025-04-21 00:00:00,view,Sports,control
253,69,2025-05-02 00:00:00,view,Fashion,control
253,69,2025-05-02 00:03:00,add_to_cart,Electronics,control
253,69,2025-05-02 00:06:00,checkout,Fashion,control
253,69,2025-05-02 00:09:00,purchase,Sports,control
254,70,2025-05-24 00:00:00,view,Fashion,control
255,70,2025-07-19 00:00:00,view,Electronics,control
255,70,2025-07-19 00:03:00,add_to_cart,Home & Kitchen,control
256,70,2025-07-12 00:00:00,view,Beauty,control
257,70,2025-07-27 00:00:00,view,Fashion,control
257,70,2025-07-27 00:03:00,add_to_cart,Electronics,control
257,70,2025-07-27 00:06:00,checkout,Electronics,control
257,70,2025-07-27 00:09:00,purchase,Books,control
258,71,2025-07-08 00:00:00,view,Books,variant
259,71,2025-07-27 00:00:00,view,Fashion,variant
260,71,2025-07-23 00:00:00,view,Sports,variant
260,71,2025-07-23 00:03:00,add_to_cart,Fashion,variant
260,71,2025-07-23 00:06:00,checkout,Electronics,variant
260,71,2025-07-23 00:09:00,purchase,Sports,variant
261,71,2025-07-04 00:00:00,view,Fashion,variant
261,71,2025-07-04 00:03:00,add_to_cart,Home & Kitchen,variant
262,72,2025-04-27 00:00:00,view,Fashion,variant
263,72,2025-05-04 00:00:00,view,Electronics,variant
264,73,2025-06-15 00:00:00,view,Books,control
264,73,2025-06-15 00:03:00,add_to_cart,Fashion,control
264,73,2025-06-15 00:06:00,checkout,Fashion,control
264,73,2025-06-15 00:09:00,purchase,Fashion,control
265,73,2025-06-04 00:00:00,view,Sports,control
266,74,2025-04-18 00:00:00,view,Sports,variant
267,74,2025-04-02 00:00:00,view,Sports,variant
267,74,2025-04-02 00:03:00,add_to_cart,Fashion,variant
267,74,2025-04-02 00:06:00,checkout,Books,variant
267,74,2025-04-02 00:09:00,purchase,Fashion,variant
268,75,2025-08-04 00:00:00,view,Home & Kitchen,control
269,75,2025-07-26 00:00:00,view,Sports,control
269,75,2025-07-26 00:03:00,add_to_cart,Fashion,control
270,76,2025-05-18 00:00:00,view,Electronics,variant
270,76,2025-05-18 00:03:00,add_to_cart,Sports,variant
271,76,2025-05-08 00:00:00,view,Fashion,variant
272,76,2025-05-24 00:00:00,view,Home & Kitchen,variant
273,76,2025-05-15 00:00:00,view,Electronics,variant
274,76,2025-06-08 00:00:00,view,Fashion,variant
274,76,2025-06-08 00:03:00,add_to_cart,Books,variant
275,76,2025-06-02 00:00:00,view,Home & Kitchen,variant
276,76,2025-06-17 00:00:00,view,Fashion,variant
277,76,2025-08-05 00:00:00,view,Books,variant
278,76,2025-08-20 00:00:00,view,Home & Kitchen,variant
278,76,2025-08-20 00:03:00,add_to_cart,Books,variant
279,76,2025-07-30 00:00:00,view,Books,variant
280,76,2025-08-22 00:00:00,view,Fashion,variant
281,77,2025-05-03 00:00:00,view,Sports,variant
281,77,2025-05-03 00:03:00,add_to_cart,Books,variant
282,78,2025-04-22 00:00:00,view,Fashion,control
282,78,2025-04-22 00:03:00,add_to_cart,Home & Kitchen,control
282,78,2025-04-22 00:06:00,checkout,Beauty,control
283,79,2025-06-12 00:00:00,view,Electronics,variant
283,79,2025-06-12 00:03:00,add_to_cart,Electronics,variant
284,80,2025-07-24 00:00:00,view,Sports,variant
285,80,2025-08-03 00:00:00,view,Books,variant
286,80,2025-08-11 00:00:00,view,Electronics,variant
287,81,2025-09-12 00:00:00,view,Electronics,variant
288,81,2025-08-27 00:00:00,view,Electronics,variant
289,82,2025-05-21 00:00:00,view,Sports,control
290,82,2025-05-08 00:00:00,view,Books,control
290,82,2025-05-08 00:03:00,add_to_cart,Beauty,control
