order_id,session_id,customer_id,order_date,category,checkout_variant,order_value
104,780,238,2025-06-05 00:09:00,Electronics,control,2439.52
105,792,243,2025-03-27 00:09:00,Home & Kitchen,control,1303.95
106,802,247,2025-07-22 00:09:00,Fashion,control,1482.14
107,816,252,2025-06-05 00:09:00,Fashion,variant,690.96
108,828,255,2025-06-16 00:09:00,Fashion,variant,1399.41
109,835,259,2025-04-21 00:09:00,Fashion,control,2099.68
110,861,265,2025-09-04 00:09:00,Home & Kitchen,control,1263.34
111,874,269,2025-06-17 00:09:00,Sports,variant,1247.99
112,875,269,2025-06-24 00:09:00,Electronics,variant,744.08
113,887,272,2025-06-25 00:09:00,Beauty,variant,1145.31
114,888,273,2025-04-22 00:09:00,Books,variant,1396.23
115,892,273,2025-05-22 00:09:00,Home & Kitchen,variant,2323.17
116,895,274,2025-08-23 00:09:00,Fashion,control,936.25
117,899,275,2025-05-12 00:09:00,Home & Kitchen,control,1044.16
118,904,275,2025-05-13 00:09:00,Beauty,control,2231.43
119,907,276,2025-05-23 00:09:00,Sports,control,282.38
120,917,278,2025-08-04 00:09:00,Electronics,control,2478.24
121,924,280,2025-03-25 00:09:00,Home & Kitchen,variant,1175.77
122,936,285,2025-05-07 00:09:00,Home & Kitchen,control,1094.77
123,942,287,2025-04-06 00:09:00,Fashion,variant,2426.37
124,945,288,2025-06-28 00:09:00,Electronics,variant,1679.39
125,952,290,2025-05-19 00:09:00,Home & Kitchen,control,1464.24
126,957,291,2025-07-25 00:09:00,Beauty,control,1139.61
127,965,293,2025-08-14 00:09:00,Home & Kitchen,variant,482.6
128,975,298,2025-05-23 00:09:00,Electronics,control,833.9
129,990,303,2025-03-19 00:09:00,Sports,variant,2474.66
130,993,303,2025-06-06 00:09:00,Sports,variant,1841.55
131,1001,305,2025-06-28 00:09:00,Home & Kitchen,variant,621.27
132,1002,305,2025-07-26 00:09:00,Electronics,variant,2687.0
133,1026,311,2025-06-20 00:09:00,Books,control,363.84
134,1033,313,2025-05-02 00:09:00,Home & Kitchen,variant,904.77
135,1035,314,2025-04-02 00:09:00,Books,variant,735.22
136,1037,314,2025-04-15 00:09:00,Electronics,variant,405.95
137,1040,316,2025-07-02 00:09:00,Beauty,variant,1462.7
138,1041,316,2025-06-10 00:09:00,Electronics,variant,1077.63
139,1044,317,2025-07-26 00:09:00,Electronics,control,1138.55
140,1056,320,2025-06-30 00:09:00,Home & Kitchen,control,1846.73
141,1058,321,2025-05-13 00:09:00,Sports,variant,645.42
142,1061,322,2025-03-20 00:09:00,Home & Kitchen,variant,1736.6
143,1063,322,2025-05-13 00:09:00,Beauty,variant,4065.32
144,1069,324,2025-08-25 00:09:00,Sports,variant,980.84
145,1078,326,2025-04-25 00:09:00,Fashion,control,4455.66
146,1085,328,2025-03-16 00:09:00,Electronics,control,2052.4
147,1087,329,2025-03-13 00:09:00,Beauty,control,2226.08
148,1102,332,2025-07-22 00:09:00,Sports,variant,1463.21
149,1111,335,2025-08-17 00:09:00,Electronics,control,713.4
150,1125,341,2025-06-08 00:09:00,Electronics,variant,1260.94
151,1138,346,2025-05-02 00:09:00,Home & Kitchen,variant,2024.21
152,1145,347,2025-08-24 00:09:00,Beauty,variant,831.19
153,1146,347,2025-08-09 00:09:00,Books,variant,1631.42
154,1150,349,2025-04-26 00:09:00,Beauty,control,2559.84
155,1153,350,2025-03-26 00:09:00,Beauty,variant,918.6
156,1159,352,2025-03-24 00:09:00,Books,control,2784.03
157,1167,352,2025-06-11 00:09:00,Beauty,control,882.14
158,1175,355,2025-08-19 00:09:00,Electronics,control,3446.82
159,1186,358,2025-08-14 00:09:00,Home & Kitchen,variant,2064.37
160,1202,364,2025-09-20 00:09:00,Sports,variant,1568.72
161,1203,364,2025-08-31 00:09:00,Home & Kitchen,variant,2852.32
162,1211,367,2025-05-08 00:09:00,Sports,variant,2249.14
163,1214,368,2025-05-20 00:09:00,Fashion,control,1858.98
164,1216,368,2025-05-06 00:09:00,Books,control,916.55
165,1229,370,2025-07-19 00:09:00,Fashion,variant,1612.12
166,1234,372,2025-06-21 00:09:00,Books,control,1866.66
167,1237,373,2025-05-14 00:09:00,Books,control,2396.57
168,1254,377,2025-07-13 00:09:00,Electronics,variant,1135.65
169,1255,377,2025-07-07 00:09:00,Fashion,variant,972.68
170,1279,385,2025-03-14 00:09:00,Electronics,variant,1054.14
171,1284,386,2025-03-30 00:09:00,Fashion,control,2261.04
172,1290,387,2025-03-11 00:09:00,Electronics,variant,1061.53
173,1313,397,2025-04-04 00:09:00,Electronics,control,2267.2
174,1327,400,2025-04-28 00:09:00,Home & Kitchen,variant,1829.37
175,1329,401,2025-08-27 00:09:00,Sports,variant,1966.29
176,1332,402,2025-07-23 00:09:00,Books,control,3601.62
177,1365,412,2025-04-20 00:09:00,Electronics,control,2430.46
178,1371,414,2025-04-06 00:09:00,Beauty,variant,2892.0
179,1375,414,2025-08-10 00:09:00,Electronics,variant,1064.55
180,1378,415,2025-08-05 00:09:00,Books,control,703.85
181,1386,419,2025-05-15 00:09:00,Sports,control,832.9
182,1402,425,2025-06-02 00:09:00,Fashion,variant,705.63
183,1407,425,2025-05-12 00:09:00,Beauty,variant,908.69
184,1418,431,2025-04-11 00:09:00,Home & Kitchen,control,1356.23
185,1419,431,2025-04-20 00:09:00,Sports,control,1243.46
186,1421,431,2025-05-22 00:09:00,Fashion,control,2089.61
187,1427,433,2025-08-14 00:09:00,Beauty,control,949.58
188,1428,433,2025-08-12 00:09:00,Electronics,control,1144.43
189,1438,437,2025-06-20 00:09:00,Fashion,control,1992.68
190,1457,443,2025-05-19 00:09:00,Sports,variant,1653.64
191,1489,455,2025-06-25 00:09:00,Home & Kitchen,control,1240.35
192,1501,459,2025-08-20 00:09:00,Beauty,control,3269.97
193,1518,464,2025-06-07 00:09:00,Books,variant,2625.04
194,1522,464,2025-06-13 00:09:00,Home & Kitchen,variant,4158.01
195,1531,467,2025-03-27 00:09:00,Sports,control,3685.23
196,1535,469,2025-05-06 00:09:00,Books,control,522.78
197,1537,469,2025-05-04 00:09:00,Fashion,control,1792.11
198,1538,470,2025-09-08 00:09:00,Home & Kitchen,control,1382.94
199,1543,472,2025-08-19 00:09:00,Sports,variant,2193.37
200,1547,473,2025-06-18 00:09:00,Electronics,variant,4003.74
201,1551,475,2025-06-25 00:09:00,Beauty,control,2182.28
202,1555,475,2025-07-19 00:09:00,Electronics,control,1538.31
203,1561,478,2025-03-22 00:09:00,Beauty,control,1416.58
204,1562,479,2025-07-16 00:09:00,Beauty,control,2723.1
205,1568,481,2025-05-05 00:09:00,Fashion,variant,2387.33
206,1583,485,2025-06-20 00:09:00,Beauty,control,1348.67
207,1603,488,2025-07-23 00:09:00,Sports,control,605.03
208,1605,489,2025-07-29 00:09:00,Books,variant,1656.89
209,1617,494,2025-06-19 00:09:00,Electronics,control,1051.02
210,1619,495,2025-04-24 00:09:00,Books,variant,945.75
211,1622,496,2025-06-11 00:09:00,Beauty,variant,463.66
212,1637,499,2025-08-13 00:09:00,Sports,variant,3443.29
213,1638,499,2025-08-04 00:09:00,Electronics,variant,4312.24
214,1655,504,2025-09-01 00:09:00,Fashion,variant,1275.43
215,1662,508,2025-05-10 00:09:00,Home & Kitchen,control,1425.47
216,1665,509,2025-05-08 00:09:00,Books,control,1703.14
217,1675,512,2025-07-26 00:09:00,Books,variant,1243.02
218,1688,517,2025-08-23 00:09:00,Beauty,control,1900.8
219,1701,520,2025-06-15 00:09:00,Home & Kitchen,variant,2002.55
220,1705,521,2025-06-17 00:09:00,Sports,variant,3322.93
221,1706,521,2025-06-16 00:09:00,Books,variant,741.32
222,1720,525,2025-05-09 00:09:00,Books,variant,1863.88
223,1734,531,2025-06-19 00:09:00,Home & Kitchen,variant,1309.67
224,1735,532,2025-03-11 00:09:00,Sports,control,1236.93
225,1748,536,2025-04-06 00:09:00,Electronics,control,346.32
226,1753,538,2025-03-29 00:09:00,Fashion,variant,961.86
227,1761,541,2025-08-11 00:09:00,Books,variant,2053.99
228,1767,542,2025-05-25 00:09:00,Sports,control,996.29
229,1784,545,2025-07-12 00:09:00,Sports,control,1676.3
230,1786,547,2025-05-17 00:09:00,Sports,variant,160.8
231,1789,548,2025-07-08 00:09:00,Sports,control,1366.13
232,1793,548,2025-07-07 00:09:00,Books,control,1626.66
233,1798,550,2025-08-15 00:09:00,Sports,variant,932.14
234,1808,554,2025-04-26 00:09:00,Electronics,control,1294.95
235,1817,556,2025-06-15 00:09:00,Books,variant,1796.37
236,1825,560,2025-09-02 00:09:00,Sports,variant,1150.64
237,1827,560,2025-09-09 00:09:00,Home & Kitchen,variant,1999.23
238,1831,561,2025-06-20 00:09:00,Electronics,control,1062.26
239,1835,561,2025-07-01 00:09:00,Electronics,control,2349.58
240,1837,563,2025-05-17 00:09:00,Home & Kitchen,variant,541.55
241,1840,564,2025-04-24 00:09:00,Fashion,control,1448.58
242,1844,565,2025-09-13 00:09:00,Sports,variant,1987.3
243,1848,566,2025-04-17 00:09:00,Electronics,control,1485.49
244,1864,568,2025-05-16 00:09:00,Electronics,variant,2329.3
245,1871,571,2025-08-27 00:09:00,Home & Kitchen,variant,1216.48
246,1874,572,2025-05-10 00:09:00,Books,variant,1247.21
247,1882,575,2025-03-30 00:09:00,Sports,variant,421.08
248,1889,576,2025-06-05 00:09:00,Books,variant,2308.53
249,1899,580,2025-03-28 00:09:00,Home & Kitchen,control,2558.33
250,1902,581,2025-03-30 00:09:00,Books,variant,2420.85
251,1916,584,2025-04-04 00:09:00,Sports,control,1112.71
252,1917,584,2025-05-08 00:09:00,Sports,control,520.78
253,1920,585,2025-05-28 00:09:00,Sports,control,3560.81
254,1927,586,2025-09-10 00:09:00,Sports,variant,1395.12
255,1930,587,2025-07-23 00:09:00,Home & Kitchen,variant,614.15
256,1938,591,2025-07-31 00:09:00,Electronics,control,2978.06
257,1943,594,2025-08-26 00:09:00,Beauty,control,374.02
258,1947,595,2025-05-04 00:09:00,Books,variant,3396.71
259,1949,596,2025-07-01 00:09:00,Beauty,control,535.75
260,1951,597,2025-08-04 00:09:00,Sports,control,1370.48
261,1958,598,2025-07-31 00:09:00,Beauty,control,1379.95
262,1971,603,2025-07-30 00:09:00,Books,variant,1715.31
263,1974,604,2025-04-02 00:09:00,Books,variant,2001.39
264,1976,604,2025-04-30 00:09:00,Sports,variant,1057.83
265,1986,606,2025-07-19 00:09:00,Beauty,control,1254.44
266,1993,608,2025-07-06 00:09:00,Books,variant,1045.03
267,2011,613,2025-07-24 00:09:00,Fashion,variant,2702.77
268,2015,615,2025-07-26 00:09:00,Beauty,variant,1866.1
269,2016,615,2025-07-20 00:09:00,Home & Kitchen,variant,2645.04
270,2022,619,2025-04-10 00:09:00,Beauty,variant,1183.69
271,2030,622,2025-06-16 00:09:00,Beauty,control,1183.39
272,2036,623,2025-03-24 00:09:00,Home & Kitchen,variant,630.04
273,2042,625,2025-06-28 00:09:00,Beauty,control,2280.58
274,2046,626,2025-04-19 00:09:00,Beauty,variant,1551.01
275,2052,627,2025-05-03 00:09:00,Books,control,1423.17
276,2054,627,2025-05-13 00:09:00,Electronics,control,1083.23
277,2056,627,2025-08-01 00:09:00,Sports,control,1221.3
278,2060,629,2025-07-15 00:09:00,Sports,variant,1886.74
279,2069,632,2025-05-05 00:09:00,Fashion,control,2180.81
280,2070,632,2025-06-29 00:09:00,Books,control,943.55
281,2072,633,2025-05-18 00:09:00,Home & Kitchen,variant,2143.01
282,2078,634,2025-06-06 00:09:00,Books,variant,1463.07
283,2080,635,2025-04-03 00:09:00,Beauty,variant,1796.29
284,2082,635,2025-04-02 00:09:00,Sports,variant,1296.16
285,2086,638,2025-04-13 00:09:00,Sports,variant,1189.74
286,2088,638,2025-04-25 00:09:00,Beauty,variant,1291.66
287,2096,641,2025-07-29 00:09:00,Books,variant,639.23
288,2103,644,2025-06-01 00:09:00,Sports,variant,1136.17
289,2107,645,2025-07-17 00:09:00,Books,variant,417.64
290,2112,646,2025-05-06 00:09:00,Sports,control,2217.14
291,2118,648,2025-06-07 00:09:00,Electronics,variant,601.51
292,2121,648,2025-07-11 00:09:00,Electronics,variant,1962.36
293,2125,650,2025-08-17 00:09:00,Books,control,789.89
294,2127,651,2025-05-19 00:09:00,Books,variant,2925.57
295,2131,652,2025-07-31 00:09:00,Beauty,control,368.95
296,2134,652,2025-07-26 00:09:00,Home & Kitchen,control,1352.23
297,2135,653,2025-04-23 00:09:00,Books,variant,2984.45
298,2139,654,2025-07-24 00:09:00,Beauty,control,2006.21
299,2147,656,2025-07-19 00:09:00,Sports,control,1137.81
300,2157,660,2025-04-17 00:09:00,Books,control,3900.68
301,2161,661,2025-05-09 00:09:00,Home & Kitchen,control,1317.85
302,2164,662,2025-08-09 00:09:00,Home & Kitchen,variant,1291.08
303,2168,663,2025-05-24 00:09:00,Beauty,variant,2461.81
304,2173,664,2025-06-10 00:09:00,Sports,variant,1246.59
305,2175,665,2025-06-15 00:09:00,Beauty,control,1279.58
306,2187,669,2025-08-24 00:09:00,Electronics,control,1016.31
307,2190,670,2025-04-03 00:09:00,Electronics,control,1896.35
308,2198,674,2025-05-01 00:09:00,Sports,variant,2088.45
309,2202,675,2025-06-22 00:09:00,Home & Kitchen,variant,993.07
310,2203,676,2025-07-24 00:09:00,Fashion,variant,2761.52
311,2216,679,2025-07-01 00:09:00,Electronics,control,1016.67
312,2218,681,2025-07-26 00:09:00,Fashion,control,860.63
313,2222,682,2025-03-09 00:09:00,Books,variant,710.62
314,2232,685,2025-07-24 00:09:00,Books,variant,2567.43
315,2234,686,2025-08-05 00:09:00,Fashion,variant,773.99
316,2235,687,2025-05-28 00:09:00,Books,variant,3574.09
317,2237,688,2025-06-07 00:09:00,Books,variant,680.47
318,2245,692,2025-07-17 00:09:00,Home & Kitchen,variant,1327.14
319,2248,692,2025-07-02 00:09:00,Sports,variant,758.81
320,2254,693,2025-09-20 00:09:00,Electronics,control,1081.57
321,2281,700,2025-03-13 00:09:00,Fashion,variant,1414.26
322,2282,700,2025-06-18 00:09:00,Beauty,variant,3482.59
323,2290,702,2025-06-02 00:09:00,Sports,control,2258.44
324,2291,702,2025-06-17 00:09:00,Beauty,control,302.27
325,2300,706,2025-06-06 00:09:00,Books,variant,1370.42
326,2312,708,2025-06-18 00:09:00,Fashion,variant,1403.56
327,2315,709,2025-06-10 00:09:00,Electronics,variant,1113.07
328,2317,710,2025-05-30 00:09:00,Home & Kitchen,variant,1661.16
329,2319,712,2025-07-05 00:09:00,Electronics,control,4377.83
330,2324,714,2025-08-02 00:09:00,Sports,control,1018.73
331,2325,715,2025-08-07 00:09:00,Home & Kitchen,variant,1980.29
332,2334,718,2025-06-20 00:09:00,Fashion,variant,608.2
333,2351,723,2025-08-26 00:09:00,Beauty,control,396.26
334,2355,724,2025-06-03 00:09:00,Beauty,control,1332.0
335,2359,725,2025-07-23 00:09:00,Sports,variant,2213.23
336,2361,725,2025-07-30 00:09:00,Home & Kitchen,variant,1297.25
337,2366,727,2025-07-19 00:09:00,Fashion,variant,2135.19
338,2387,733,2025-09-02 00:09:00,Beauty,variant,2136.89
339,2388,734,2025-07-22 00:09:00,Beauty,variant,5737.24
340,2391,735,2025-04-28 00:09:00,Home & Kitchen,control,1845.27
341,2393,736,2025-07-21 00:09:00,Fashion,control,1362.8
342,2401,739,2025-07-19 00:09:00,Books,variant,1914.52
343,2402,739,2025-07-16 00:09:00,Sports,variant,951.35
344,2403,739,2025-07-12 00:09:00,Beauty,variant,2083.06
345,2406,740,2025-08-29 00:09:00,Home & Kitchen,control,1962.76
346,2408,741,2025-07-22 00:09:00,Fashion,variant,3079.81
347,2410,742,2025-07-11 00:09:00,Fashion,variant,821.28
348,2415,744,2025-04-20 00:09:00,Beauty,variant,1588.98
349,2416,744,2025-04-25 00:09:00,Electronics,variant,3561.71
350,2424,748,2025-04-09 00:09:00,Fashion,variant,1047.54
351,2433,750,2025-03-15 00:09:00,Beauty,control,230.03
352,2442,752,2025-04-01 00:09:00,Home & Kitchen,control,1539.25
353,2446,753,2025-04-04 00:09:00,Books,variant,1451.37
354,2447,754,2025-09-17 00:09:00,Fashion,control,1428.12
355,2449,755,2025-06-18 00:09:00,Beauty,variant,1722.66
356,2459,757,2025-07-31 00:09:00,Fashion,variant,2191.13
357,2460,757,2025-07-15 00:09:00,Sports,variant,6151.2
358,2464,758,2025-06-25 00:09:00,Electronics,control,1040.65
359,2470,761,2025-04-30 00:09:00,Fashion,control,938.13
360,2485,768,2025-05-07 00:09:00,Sports,control,2148.75
361,2487,769,2025-03-24 00:09:00,Fashion,variant,878.95
362,2515,778,2025-04-16 00:09:00,Fashion,control,1159.31
363,2527,782,2025-06-28 00:09:00,Fashion,variant,1240.38
364,2529,783,2025-03-15 00:09:00,Books,control,2957.62
365,2533,784,2025-04-13 00:09:00,Sports,control,3166.77
366,2544,787,2025-03-17 00:09:00,Home & Kitchen,variant,367.76
367,2547,787,2025-04-23 00:09:00,Sports,variant,441.62
368,2559,790,2025-03-18 00:09:00,Beauty,control,1480.54
369,2562,791,2025-04-15 00:09:00,Fashion,variant,2610.28
370,2570,793,2025-08-12 00:09:00,Fashion,variant,3659.79
371,2574,795,2025-05-27 00:09:00,Fashion,control,1541.04
372,2576,795,2025-06-17 00:09:00,Beauty,control,3138.33
373,2587,797,2025-09-08 00:09:00,Fashion,control,946.1
374,2589,799,2025-04-12 00:09:00,Sports,variant,1241.6
375,2597,802,2025-07-02 00:09:00,Electronics,control,1657.81
376,2599,803,2025-06-11 00:09:00,Books,variant,1148.46
377,2603,805,2025-07-29 00:09:00,Electronics,variant,3513.33
378,2607,807,2025-06-20 00:09:00,Sports,control,1167.17
379,2610,808,2025-03-26 00:09:00,Fashion,control,1766.93
380,2618,811,2025-03-11 00:09:00,Home & Kitchen,control,1056.37
381,2631,815,2025-08-01 00:09:00,Home & Kitchen,control,1089.76
382,2639,817,2025-04-13 00:09:00,Books,variant,792.3
383,2640,817,2025-04-11 00:09:00,Sports,variant,2443.81
384,2643,818,2025-03-13 00:09:00,Home & Kitchen,variant,2146.28
385,2645,818,2025-03-31 00:09:00,Fashion,variant,2251.07
386,2652,819,2025-06-28 00:09:00,Electronics,control,1114.18
387,2655,820,2025-09-16 00:09:00,Home & Kitchen,control,865.08
388,2656,820,2025-08-28 00:09:00,Beauty,control,1263.63
389,2673,824,2025-07-18 00:09:00,Sports,control,2008.77
390,2680,826,2025-06-01 00:09:00,Books,variant,796.37
391,2681,827,2025-07-22 00:09:00,Sports,variant,1351.49
392,2682,827,2025-07-08 00:09:00,Home & Kitchen,variant,2014.16
393,2695,831,2025-05-04 00:09:00,Home & Kitchen,variant,962.45
394,2699,831,2025-06-12 00:09:00,Books,variant,3918.12
395,2701,832,2025-04-11 00:09:00,Home & Kitchen,control,1902.08
396,2709,835,2025-08-29 00:09:00,Books,control,1409.75
397,2711,836,2025-07-28 00:09:00,Beauty,control,1174.43
398,2717,838,2025-04-03 00:09:00,Home & Kitchen,variant,2093.53
399,2733,844,2025-03-06 00:09:00,Books,variant,1009.01
400,2744,847,2025-05-15 00:09:00,Beauty,variant,2133.32
401,2750,849,2025-07-15 00:09:00,Home & Kitchen,variant,729.92
402,2755,851,2025-09-02 00:09:00,Books,control,1407.41
403,2763,856,2025-09-09 00:09:00,Sports,control,2349.66
404,2771,858,2025-04-29 00:09:00,Home & Kitchen,variant,953.7
405,2776,860,2025-07-29 00:09:00,Sports,control,955.43
406,2782,862,2025-09-07 00:09:00,Beauty,variant,1486.95
407,2791,864,2025-08-02 00:09:00,Electronics,control,1610.87
408,2793,865,2025-09-18 00:09:00,Books,variant,2596.54
409,2797,866,2025-08-04 00:09:00,Home & Kitchen,control,2107.91
410,2803,868,2025-09-01 00:09:00,Home & Kitchen,control,1299.7
411,2809,869,2025-06-30 00:09:00,Beauty,variant,1329.85
412,2820,872,2025-04-30 00:09:00,Electronics,control,2210.6
413,2827,873,2025-07-13 00:09:00,Sports,variant,697.48
414,2833,876,2025-07-13 00:09:00,Home & Kitchen,variant,846.63
415,2834,876,2025-06-29 00:09:00,Books,variant,1097.24
416,2837,877,2025-06-19 00:09:00,Home & Kitchen,control,525.66
417,2838,877,2025-06-14 00:09:00,Beauty,control,2513.25
418,2846,881,2025-03-20 00:09:00,Electronics,control,662.28
419,2847,881,2025-03-14 00:09:00,Beauty,control,4530.81
420,2850,882,2025-09-05 00:09:00,Beauty,variant,1974.92
421,2863,887,2025-03-27 00:09:00,Books,variant,1109.03
422,2879,889,2025-03-16 00:09:00,Home & Kitchen,control,1301.68
423,2896,895,2025-07-16 00:09:00,Fashion,variant,3294.24
424,2902,897,2025-06-29 00:09:00,Beauty,control,1202.57
425,2910,898,2025-07-01 00:09:00,Fashion,variant,1084.81
426,2911,899,2025-04-17 00:09:00,Electronics,control,1276.91
427,2913,899,2025-05-03 00:09:00,Electronics,control,1235.66
428,2915,900,2025-07-04 00:09:00,Sports,control,1537.52
429,2919,901,2025-03-26 00:09:00,Fashion,control,1234.07
430,2923,902,2025-04-04 00:09:00,Books,control,2996.78
431,2928,903,2025-05-06 00:09:00,Beauty,control,1411.9
432,2932,904,2025-08-20 00:09:00,Sports,control,876.33
